size,read-start,read-end,time,block-time
65536,0.473176192,0.473542504,0.000366312,0.000022894
131072,0.473547208,0.473859504,0.000312296,0.000009759
262144,0.473863544,0.474451800,0.000588256,0.000009191
524288,0.474455920,0.475639040,0.001183120,0.000009243
1048576,0.475643632,0.477952016,0.002308384,0.000009017
2097152,0.477955960,0.482466552,0.004510592,0.000008810
4096,0.482470744,0.482561400,0.000090656,0.000090656
8192,0.482566240,0.482643416,0.000077176,0.000038588
16384,0.482645904,0.482732440,0.000086536,0.000021634
32768,0.482736704,0.483029456,0.000292752,0.000036594
65536,0.483032960,0.483204968,0.000172008,0.000010751
131072,0.483209632,0.483520208,0.000310576,0.000009706
262144,0.483524824,0.484110456,0.000585632,0.000009151
524288,0.484114512,0.485256096,0.001141584,0.000008919
1048576,0.485260928,0.487664328,0.002403400,0.000009388
2097152,0.487668960,0.492283632,0.004614672,0.000009013
4096,0.492287864,0.492364152,0.000076288,0.000076288
